,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,0.125,0.046875,0.1927083333333333,0.2135416666666666,0.1666666666666666,0.0052083333333333
1,0.0416666666666666,0.09375,0.2291666666666666,0.0885416666666666,0.046875,0.078125
2,0.1510416666666666,0.0,0.046875,0.0052083333333333,0.0,0.0416666666666666
3,0.046875,0.2760416666666667,0.0364583333333333,0.0572916666666666,0.109375,0.2239583333333333
4,0.09375,0.1302083333333333,0.234375,0.3802083333333333,0.5208333333333334,0.515625
5,0.1979166666666666,0.5104166666666666,0.046875,0.2395833333333333,0.0833333333333333,0.1354166666666666
6,0.203125,0.421875,0.0364583333333333,0.0885416666666666,0.015625,0.0
7,0.125,0.0,0.0416666666666666,0.0729166666666666,0.0520833333333333,0.046875
8,0.21875,0.0833333333333333,0.15625,0.2083333333333333,0.1145833333333333,0.046875
9,0.0052083333333333,0.0677083333333333,0.2760416666666667,0.0208333333333333,0.0885416666666666,0.28125
10,0.1979166666666666,0.109375,0.1197916666666666,0.15625,0.09375,0.0052083333333333
11,0.0208333333333333,0.0989583333333333,0.1614583333333333,0.2291666666666666,0.1197916666666666,0.2239583333333333
12,0.0572916666666666,0.015625,0.0,0.1354166666666666,0.1041666666666666,0.09375
13,0.2083333333333333,0.0416666666666666,0.234375,0.1770833333333333,0.2604166666666667,0.15625
14,0.0520833333333333,0.2708333333333333,0.203125,0.1875,0.0677083333333333,0.1510416666666666
15,0.0520833333333333,0.1979166666666666,0.1197916666666666,0.09375,0.1510416666666666,0.0833333333333333
16,0.1666666666666666,0.2395833333333333,0.203125,0.1354166666666666,0.1197916666666666,0.046875
17,0.0572916666666666,0.0,0.0104166666666666,0.0989583333333333,0.0833333333333333,0.0729166666666666
18,0.0833333333333333,0.0364583333333333,0.0,0.0052083333333333,0.078125,0.0104166666666666
19,0.171875,0.21875,0.0416666666666666,0.0,0.0729166666666666,0.078125
